,fbuid,name,introduction,countryside,address,rela,ava,cover,nums_of_friend,nums_of_images,nums_of_videos,nums_of_albums,Label
1,1E+14,Vu Tran (Vũ Trần),NYC | Hanoi,"From Hanoi, Vietnam","Lives in New York, New York",0,https://scontent.fhan14-4.fna.fbcdn.net/v/t39.30808-1/316424210_6253536461325070_4994898147255137195_n.jpg?stp=cp6_dst-jpg_p320x320&_nc_cat=109&ccb=1-7&_nc_sid=7206a8&_nc_ohc=b3en_4nWwCAAX8LLtbb&_nc_ht=scontent.fhan14-4.fna&oh=00_AfBURzNZMN2qaOAymC9gaG6h5lBxE48o88UTO7cbruAAfw&oe=64800DC4,https://scontent.fhan14-4.fna.fbcdn.net/v/t1.18169-9/20664966_1734647599880668_656501446362746583_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=e3f864&_nc_ohc=9N6TfVXZbuwAX-FKIrW&_nc_ht=scontent.fhan14-4.fna&oh=00_AfAAy2wDqakKCB4e7rexkW61FcbTukGiS8dW7J5rptkcuQ&oe=64A2A138,,6,0,2,1
2,1.00013E+14,Thanhquang Hung,phước lộc tuy phước,,,,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.18169-1/17800489_290223161412998_5802784723935039905_n.jpg?stp=dst-jpg_p200x200&_nc_cat=103&ccb=1-7&_nc_sid=7206a8&_nc_ohc=-skR4cNKRk4AX_qVvk-&_nc_ht=scontent.fhan14-3.fna&oh=00_AfA5zLcd4SXFwlK5MWbuwk0X2ZizSlascGsmdO37wGlqHQ&oe=64D08062,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.18169-9/17861928_290223438079637_8974756552444931998_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=e3f864&_nc_ohc=-1RMNDkZa3YAX_mTI1E&_nc_ht=scontent.fhan14-3.fna&oh=00_AfCn-XttHMdAQmnoPoShn5b80mODSIXmtPqnw3z6mkb4aQ&oe=64D0B243,,,,,1
3,1.00004E+14,Phương Thảo,BĂNG ĐĂNG- THIÊN NGA TIỆC CƯỚIKEM FACE- BODY TRẮNG DA📞: 0905 409 317,,,,https://scontent.fhan14-4.fna.fbcdn.net/v/t39.30808-1/335853369_509654194708186_3929754791625796585_n.jpg?stp=dst-jpg_p200x200&_nc_cat=109&ccb=1-7&_nc_sid=7206a8&_nc_ohc=x-Pfluk39NkAX_MSSIU&_nc_ht=scontent.fhan14-4.fna&oh=00_AfBiNBgZ-aAUG4h7RQEtRptC8nUGtNpUQjffEgWpBNtm9Q&oe=64ADF5FC,https://scontent.fhan14-2.fna.fbcdn.net/v/t39.30808-6/278237857_2439652672838455_267051159436574951_n.jpg?stp=dst-jpg_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=e3f864&_nc_ohc=gnrWmlIMjuMAX_Yg0hy&_nc_ht=scontent.fhan14-2.fna&oh=00_AfDT48ycEYS48l6HthWzFwu63tdQpiblzV-t1TlQG85f_A&oe=64AD9DA2,,,,,0
4,1.00016E+14,Sen Hồng,,,,,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.30497-1/143086968_2856368904622192_1959732218791162458_n.png?_nc_cat=1&ccb=1-7&_nc_sid=7206a8&_nc_ohc=qovvqGMyZjYAX_qnEq4&_nc_ht=scontent.fhan14-1.fna&oh=00_AfAzdxlnZXmCNFqdxYlwnenovFLA94XorVjh_PjtgJLt1A&oe=64D09578,,,,,,1
5,1.00019E+14,Khanh Vy,,,,,https://scontent.fhan14-3.fna.fbcdn.net/v/t31.18172-1/19417209_107568966536460_89417439118935386_o.jpg?stp=c0.7.200.200a_dst-jpg_p200x200&_nc_cat=111&ccb=1-7&_nc_sid=7206a8&_nc_ohc=nTPBHFexaLAAX-CqLJm&_nc_oc=AQmqQaCsy1v7fnxZ8KxfFu-fumlEqllKX80A-TkTUfktxaV3_J38JXGF5OIZWMuV4budFKiEcLPPg8shkm-hOdJP&_nc_ht=scontent.fhan14-3.fna&oh=00_AfCKnAbbQRg48sbxD1hPV8Z0Xqx1G_1gXPs-pwnWPFbayg&oe=64D095A6,,,,,,1
6,1.00014E+14,Dũng Hajr,tạm được,,,,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.18169-1/24176824_352223661907475_3013191519265960737_n.jpg?stp=dst-jpg_p200x200&_nc_cat=104&ccb=1-7&_nc_sid=7206a8&_nc_ohc=O-aJr1OWQYgAX9c3xrM&_nc_ht=scontent.fhan14-3.fna&oh=00_AfDlzQkuidnmqRfIUeHjj2_zzKLDn0XZKMPW34lS9YLu2Q&oe=64D08B13,https://scontent.fhan14-3.fna.fbcdn.net/v/t31.18172-8/20689839_306788589784316_2850885673910475489_o.jpg?stp=dst-jpg_p720x720&_nc_cat=104&ccb=1-7&_nc_sid=e3f864&_nc_ohc=a_MhvyRTzGIAX8WHeeh&_nc_ht=scontent.fhan14-3.fna&oh=00_AfCCsCXa-lixL7ilMYzA22Wmf4J5Xq1kPWSdFD1uDb38Ig&oe=64D0ADA7,,,,,1
7,1.00022E+14,Vinh Tran,,,,,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.6435-1/53169429_422387555175746_4286789175757242368_n.jpg?stp=dst-jpg_p200x200&_nc_cat=105&ccb=1-7&_nc_sid=7206a8&_nc_ohc=urczKD2ZJYEAX_C4EyH&_nc_ht=scontent.fhan14-1.fna&oh=00_AfBMfipdJ2qwM4Frc3CDHD5mJbLZ6sxl-2DSyNpPlCMwpg&oe=64D08FE5,https://scontent.fhan14-2.fna.fbcdn.net/v/t1.6435-9/74462411_564729570941543_5575456570612908032_n.jpg?stp=dst-jpg_p960x960&_nc_cat=106&ccb=1-7&_nc_sid=e3f864&_nc_ohc=9a-KA_RKjE8AX_5HCsB&_nc_ht=scontent.fhan14-2.fna&oh=00_AfBblFGJNkzWmSebpDGPTMyM5Ir5y0RKaEqPixVpzzH5PQ&oe=64D0820B,,,,,0
8,1.00012E+14,Đông Huỳnh,,,,,https://scontent.fhan14-4.fna.fbcdn.net/v/t1.18169-1/13177629_112428835836456_1349629631288539138_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=7206a8&_nc_ohc=AApPXSunLs8AX9ujD-i&_nc_ht=scontent.fhan14-4.fna&oh=00_AfCTPGJMeEWcij3SFoGplVZux-WHpX7H559fQ07V3JG3_w&oe=64D08F40,,,,,,0
9,1.00015E+14,Hanh Dang,khhfj DHL oh f,,,,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.6435-1/57407264_614286899085666_708487084909789184_n.jpg?stp=dst-jpg_p200x200&_nc_cat=111&ccb=1-7&_nc_sid=7206a8&_nc_ohc=5ZjeW5iHjrYAX_OzrRS&_nc_ht=scontent.fhan14-3.fna&oh=00_AfAQbbtRiSWdk8LAjxiG1kM4RjPaBYflZVERz3L046yLpg&oe=64D08494,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.6435-9/57172595_614257772421912_4759591437832552448_n.jpg?stp=dst-jpg_p720x720&_nc_cat=103&ccb=1-7&_nc_sid=e3f864&_nc_ohc=6JNno1pPQDIAX-fPhpU&_nc_oc=AQnopzv9hXOWaoLF53B7KX_EP0f0HHAPGVFtYak8wYRxe8qGrbyMPqCz27ErXTCzA3jwhOQeZfgwcqGbPUrnepym&_nc_ht=scontent.fhan14-3.fna&oh=00_AfDhQ2VIwNyk4xLFZPUd3zExW3LtMTWsSKvmj3ErLlcWuw&oe=64D09FB0,,,,,0
10,1.00013E+14,Nhi Ho,,,,,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.18169-1/13901430_106462166467181_8647156876911185654_n.jpg?stp=c82.0.200.200a_dst-jpg_p200x200&_nc_cat=105&ccb=1-7&_nc_sid=7206a8&_nc_ohc=rS1TiceXqkcAX8s5FIb&_nc_ht=scontent.fhan14-1.fna&oh=00_AfDthTA8PG_CIKt2Mbgzrj_aXTprsI_2fzNNpErbsQ9r4g&oe=64D088C6,https://scontent.fhan14-2.fna.fbcdn.net/v/t1.18169-9/13876505_106367693143295_6025196159512954502_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=e3f864&_nc_ohc=Ise14xfCZDgAX8ya7Tz&_nc_ht=scontent.fhan14-2.fna&oh=00_AfDIgY3wErHAkJ9wdnE65dTjBSUQ0_HNcCzFqkE_cHy6SA&oe=64D086D5,,,,,0
